Id,Label,timeset,modularity_class,availability,pricing_estimate,supplier_url,notes
06A0001,o6 Agencies,,1,Fragrance and Flavour Supplier,Contact for quote,https://o6southafrica.com/,"Supplier of fragrances and flavors for the Southern and Eastern African markets."
AEC001,A&E Connock,,2,Speciality Ingredients Supplier,Contact for quote,https://connock.co.uk/,"UK-based supplier of speciality ingredients to the personal care industry worldwide."
AKU001,AECI Specialty Chemicals,,3,Personal Care Ingredients,Contact for quote,https://sc.aecichemicals.co.za/,"Diversified chemical company with a focus on sustainability and a personal care applications lab."
BOT0003,Botanichem,,4,Online Shop,R352.35 - R10,318.45,https://botanichem.co.za/,"Strong focus on natural and sustainable ingredients, with comprehensive service offerings beyond just ingredient supply."
CAR0002,"Carst&Walker,div of Zenith Ho",,5,Unknown,Unknown,Unknown,
CHE0004,Chempure (Pty) Ltd,,6,Unknown,Unknown,Unknown,
CJP0001,CJP Chemicals (Pty) Ltd,,7,Unknown,Unknown,Unknown,
CLI0001,"Clive Teubes CC / Scatters Oils",,8,Unknown,Unknown,Unknown,
COS0007,Cosmetic Ingredients (Pty) Ltd,,9,Unknown,Unknown,Unknown,
CRO0001,Croda Chemicals S.A (Pty) Ltd,,10,Full product catalogue available,Contact for quote,https://www.croda.com/en-gb/about-us/where-we-operate/emea/south-africa,"Major international supplier with strong local presence and focus on innovative, high-performance ingredients."
CTE0001,"Chemgrit Cosmetics (C-Tec)",,11,Unknown,Unknown,Unknown,
EVO0001,Protea Chemicals,,12,Unknown,Unknown,Unknown,
HEX0001,Orkila,,13,Unknown,Unknown,Unknown,
LIP0001,Vantage Speciality Chemicals,,14,Unknown,Unknown,Unknown,
Maccullum,Exsymol,,15,Unknown,Unknown,Unknown,
MAT0002,Materia Medica,,16,Unknown,Unknown,Unknown,
MEG0001,Meganede CC,,17,Distributor for Silab,Contact for quote,https://www.meganede.com/,"Distributor of high-quality, innovative raw materials for cosmetic products. Represents Silab in South Africa."
R1905018,Glyco Repair,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905027,Deglysome,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905035,Sebonormine OP,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905041,Unflamagyl,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905046,Dermapur HP OP,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905048,Vitagenyl,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905049,Detoxyl OP,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905050,Celldetox,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905051,Mitokinyl,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905052,Fermiskin GR,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905053,Retilactyl D,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905054,Raffermine 2,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905056,Eternaline,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905057,Oxygeskin,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."
R1905058,Aquaphyline EL,,17,Available,Contact for quote,https://www.silab.fr/en,"From Silab, distributed by Meganede."

MER0001,Merck (Pty) Ltd,,18,Unknown,Unknown,Unknown,
MIL0001,Millchem,,19,Unknown,Unknown,Unknown,
NAT0001,Natchem CC,,20,Extensive botanical and fragrance portfolio,Contact for quote,https://cpt.natchem.co.za/,"Largest supplier portfolio in the hypergraph (16 ingredients), exclusive distributor for Greentech in South Africa."
ORC0001,Orchem,,21,Unknown,Unknown,Unknown,
SAV0001,Savannah Fine Chem (Pty) Ltd,,22,Unknown,Unknown,Unknown,
SIY0002,IMCD South Africa (Pty) Ltd,,23,Unknown,Unknown,Unknown,
R1907000,Perf Citrus Therm 701081,,1,Unknown,Unknown,Unknown,
R1908000,"Azulene Pure (659833) *GRAM",,2,Unknown,Unknown,Unknown,
R1902003,Iselux Ultra Mild,,3,Unknown,Unknown,Unknown,
R1905039,Epigenist LS10003,,4,Available,Contact for quote,https://botanichem.co.za/,"From Botanichem, likely via one of their partners like BASF or JAKA"
R1905042,Eperuline PW LS 9627,,4,Available,Contact for quote,https://botanichem.co.za/,"From Botanichem, likely via one of their partners like BASF or JAKA"
R1905011,CM-Glucan Granulate,,5,Unknown,Unknown,Unknown,
R1905012,Perfection Peptide P3,,5,Unknown,Unknown,Unknown,
R1905023,AquaCacteen,,5,Unknown,Unknown,Unknown,
R1905024,Happybelle-PE,,5,Unknown,Unknown,Unknown,
R1905047,"Gatuline Derma - Sensitive",,5,Unknown,Unknown,Unknown,
R1911000,Sucragel AOF,,5,Unknown,Unknown,Unknown,
R1911001,Carbopol Ultrez 30,,5,Unknown,Unknown,Unknown,
R1911003,Carbopol EDT 2050,,5,Unknown,Unknown,Unknown,
R1905016,Regu-Stretch,,6,Unknown,Unknown,Unknown,
R1905017,Alpaflor Imperatoria,,6,Unknown,Unknown,Unknown,
R1905021,L-Carnitine,,6,Unknown,Unknown,Unknown,
R1901001,Pomegranate Seed Oil,,7,Unknown,Unknown,Unknown,
R1901006,Borage Oil Refined GLA 20PCT,,7,Unknown,Unknown,Unknown,
R1902000,Oronal LCG,,7,Unknown,Unknown,Unknown,
R1902001,Proteol OAT,,7,Unknown,Unknown,Unknown,
R1905014,Sepicalm S,,7,Unknown,Unknown,Unknown,
R1906000,Montanov L,,7,Unknown,Unknown,Unknown,
R1906001,Montanov S,,7,Unknown,Unknown,Unknown,
R1911002,Sepimax Zen,,7,Unknown,Unknown,Unknown,
R1913014,Grapefruit Oil Pink,,8,Unknown,Unknown,Unknown,
R1905004,Hyaluronic Acid HMW,,9,Unknown,Unknown,Unknown,
R1901005,"Arlamol LST-LQ-(MH)",,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"From Croda, part of their emollients range."
R1905002,Chronodyn,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"From Croda, likely a specialty active."
R1905003,Biopeptide CL,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"From Croda, a peptide-based active ingredient."
R1905025,"Skin Tightener-ST(TM) PH",,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"From Croda, a skin firming active."
R1905026,Beautifeye,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"From Croda, an active for eye contour care."
R1905033,Evermat,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"From Croda, a mattifying active ingredient."
R1905034,Intenslim,,10,Available,Contact for quote,https://www.crodabeauty.com/en-gb/products,"From Croda, a slimming active ingredient."
R1901002,Cetiol Sensoft,,11,Unknown,Unknown,Unknown,
R1901003,Cetiol B,,11,Unknown,Unknown,Unknown,
R1905019,Exfo-Bio,,11,Unknown,Unknown,Unknown,
R1905029,Cosmedia DC,,11,Unknown,Unknown,Unknown,
R1905030,Uvinul T150,,11,Unknown,Unknown,Unknown,
R1905043,Cetiol SB45,,11,Unknown,Unknown,Unknown,
R1905015,Aerosil R972,,12,Unknown,Unknown,Unknown,
R1905022,Drieline 1S,,13,Unknown,Unknown,Unknown,
R1905008,Hydranov P,,14,Unknown,Unknown,Unknown,
R1905055,Ceramidone,,14,Unknown,Unknown,Unknown,
R1905000,Allistin P5,,15,Unknown,Unknown,Unknown,
R1905020,"LPD's Asiatic Centella",,16,Unknown,Unknown,Unknown,
R1905018,Glyco Repair,,17,Unknown,Unknown,Unknown,
R1905027,Deglysome,,17,Unknown,Unknown,Unknown,
R1905035,Sebonormine OP,,17,Unknown,Unknown,Unknown,
R1905041,Unflamagyl,,17,Unknown,Unknown,Unknown,
R1905046,Dermapur HP OP,,17,Unknown,Unknown,Unknown,
R1905048,Vitagenyl,,17,Unknown,Unknown,Unknown,
R1905049,Detoxyl OP,,17,Unknown,Unknown,Unknown,
R1905050,Celldetox,,17,Unknown,Unknown,Unknown,
R1905051,Mitokinyl,,17,Unknown,Unknown,Unknown,
R1905052,Fermiskin GR,,17,Unknown,Unknown,Unknown,
R1905053,Retilactyl D,,17,Unknown,Unknown,Unknown,
R1905054,Raffermine 2,,17,Unknown,Unknown,Unknown,
R1905056,Eternaline,,17,Unknown,Unknown,Unknown,
R1905057,Oxygeskin,,17,Unknown,Unknown,Unknown,
R1905058,Aquaphyline EL,,17,Unknown,Unknown,Unknown,
R1905009,Caffeine,,18,Unknown,Unknown,Unknown,
R1905010,Malic Acid,,18,Unknown,Unknown,Unknown,
R1905032,Ronacare AP,,18,Unknown,Unknown,Unknown,
R1905044,Acnacidol BG,,19,Unknown,Unknown,Unknown,
R1905001,Rayolys D,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1905037,ARP 100,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1905045,Meadowsweet Medulat 220016,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913000,Ivy Cosmelene Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913001,"St John's Wort HG Ext",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913002,"Soapwort HG (3009) Extr",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913003,Horsetail Cosmelene Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913004,Centella Asiatica Cosmelene Ex,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913005,Yarrow Phytelene EG 472 Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913006,Geranium HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913007,Lavender HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913008,Rosemary HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913009,Arnica Phytenele EG 001 Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913011,"Phytelene EGX 247 (BG) 620012",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913012,"Phytelene EGX 773 (BG) 620032",,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1913013,Passion Flower Cosmelene,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active."
R1902002,Rewoderm S1333 KM 5,,21,Unknown,Unknown,Unknown,
R1902999,"ColaMate RM / replacement Rewoderm S1333 KM 5",,21,Unknown,Unknown,Unknown,
R1901004,"Waglinol 3/929",,22,Unknown,Unknown,Unknown,
R1905005,AA2G,,22,Unknown,Unknown,Unknown,
R1905006,Hydromanil,,22,Unknown,Unknown,Unknown,
R1905007,Acquacell,,22,Unknown,Unknown,Unknown,
R1905031,"Ten's Up",,22,Unknown,Unknown,Unknown,
R1905028,Celligent,,23,Unknown,Unknown,Unknown,
R1905040,Defensil Plus,,23,Unknown,Unknown,Unknown,
R1905013,Genencare OSMS BA,,23,Unknown,Unknown,Unknown,
R1905038,ProRenew Complex CLR,,23,Unknown,Unknown,Unknown,

